date,covered_holdings,requested_holdings,mom_12_1,mom_6_1,rev_1m,beta_spy_252,vol_63,liq_dollarvol_21
2025-04-10,4,4,0.15223515662167142,-0.2572434308481525,0.13801079617095013,0.3685921066378514,0.28575111170200046,0.48397439636851397
2025-04-11,4,4,0.1476149399949833,-0.24622502304693297,0.08468891551434629,0.37283550563234225,0.29359262789431495,0.48714964710455855
2025-04-14,4,4,0.1295629618508355,-0.3165348834134464,0.03814065651525672,0.37415412434837547,0.2981517971804303,0.49044751842935475
2025-04-15,4,4,0.16074667885755,-0.3040347255946779,-0.052487002834857396,0.3727670775455543,0.296893833394125,0.4927750583744881
2025-04-16,4,4,0.20247531341303882,-0.2561959792429873,0.1199500232660593,0.3786596328899546,0.3117173616502461,0.4965123511650624
2025-04-17,4,4,0.19495399980844397,-0.16675855232514092,-0.4500348149325574,0.3787754451711047,0.13191709859558445,0.48866216523025874
2025-04-21,4,4,0.22708848935022066,-0.19611416828785394,-0.47059285750740504,0.37232961937191705,0.11920255778019323,0.49017124665831147
2025-04-22,4,4,0.21097382859348832,-0.14239975180311792,-0.4315497737348658,0.3708317758308338,0.1185888880837977,0.4817081872630443
2025-04-23,4,4,0.16196517986968023,-0.2288585008158035,-0.537546638652076,0.37160667207700604,0.09742480082203345,0.4814946070571692
2025-04-24,4,4,0.1915938679756962,-0.18549049405356927,-0.6426441067767628,0.37225218750032585,0.1059713810089919,0.4807680200480694
2025-04-25,4,4,0.17899629194940603,-0.1750311889534919,-0.6594834328007844,0.3715570704323439,0.10664915634340885,0.4724224311234856
2025-04-28,4,4,0.2417057021071659,-0.16151270390210615,-0.6082532629043366,0.37179966039736584,0.06722406885414123,0.469107849500077
2025-04-29,4,4,0.27390004723819883,-0.18115584384252947,-0.5256339791685966,0.3757406689034295,0.038849704385779504,0.46766791363978866
2025-04-30,4,4,0.2619607852308116,-0.19274538284859477,-0.5812128576967687,0.3808233151726903,0.030249268952917435,0.4671638898202475
2025-05-01,4,4,0.2784145265550171,-0.15125639634540416,-0.5956965865762325,0.3816656543365402,0.04429585687936055,0.47282189873943137
2025-05-02,4,4,0.3148138759133043,-0.16706081530239647,-0.4932807648074758,0.37462630230009486,0.05549740764120403,0.47495844872762305
2025-05-05,4,4,0.21437366918945494,-0.07400076034751024,-0.44955514972304866,0.37457450733702347,0.04690347698497793,0.47919183841542146
2025-05-06,4,4,0.15743743347114325,-0.19021866133169296,-0.5159229490977572,0.37506422540213114,0.051093422768283825,0.4780202537709814
2025-05-07,4,4,0.08917027660041629,-0.2321627663158447,-0.6296376576640172,0.36942650110860553,0.04589944915929556,0.4634918372740564
2025-05-08,4,4,0.0003264119754309014,-0.28337147595882245,-0.6136023030191817,0.37154591820906674,0.04051809202342532,0.46015152509214574
2025-05-09,4,4,0.17320475365722718,-0.1735617613509028,-0.5636780252215318,0.37149829071223994,0.044321509858817054,0.4509771972158194
2025-05-12,4,4,0.16070072066988034,-0.23052191023069463,-0.43788304332489114,0.3597409849595931,0.02404743438670262,0.43370348919691143
2025-05-13,4,4,0.22322941399798427,-0.19653822477889593,-0.3828760035074569,0.3611926100231385,-0.06623477388828247,0.3983826950872733
2025-05-14,4,4,0.19872529463781333,-0.09130421663468158,-0.35260287061142825,0.36109921784954196,-0.06535126159311186,0.37520653627709966
2025-05-15,4,4,0.2436029812088998,-0.031564791539829995,-0.35795183457454194,0.3635071031057431,-0.09576920262900207,0.3390788763495574
2025-05-16,4,4,0.1952432458340799,-0.21259612489997615,-0.40192498766128454,0.3624811554926243,-0.11043834869443311,0.3204706154134226
2025-05-19,4,4,0.5384971352337675,-0.035040433226839585,-0.39379671551484546,0.36131934277612054,-0.11985802480017829,0.32131607017009406
2025-05-20,4,4,0.5901948527652178,0.02657403280693238,-0.3896742982811203,0.36120327294589266,-0.12106430302921906,0.315777106464742
2025-05-21,4,4,0.636421455833341,-0.005453907263061664,-0.3481534602071475,0.3664449021662448,-0.12889401979522022,0.30329005027199246
2025-05-22,4,4,0.6215503210875732,-0.009417515098556484,-0.3513546984044443,0.36641011986243127,-0.12340978571040326,0.2914637339259995
2025-05-23,4,4,0.6418629524363579,0.003132721883938927,-0.32749690267340986,0.3667532962819379,-0.12116888720980667,0.296103714706729
2025-05-27,4,4,0.6344225489838211,-0.002971706990130385,-0.35840358001371675,0.3680653029562218,-0.11778930738857687,0.3034823361991343
2025-05-28,4,4,0.6084618472491186,-0.024068445625900436,-0.35484875633071433,0.36822495190994176,-0.12167770127956914,0.3054582437615746
2025-05-29,4,4,0.5161677857761208,0.018493920566099997,-0.3402085320693915,0.36734070607833125,-0.13491814719948172,0.3080275453568367
2025-05-30,4,4,0.5848942791438088,0.11287865163769112,-0.2804694868715756,0.3672935503061704,-0.13727336435306264,0.3110984303086292
2025-06-02,4,4,0.5640318294968063,0.18813404068790734,-0.21620575379933413,0.3676520752080618,-0.15632967963577069,0.29603358503447474
2025-06-03,4,4,0.5187555911831414,0.16089010708590493,-0.3411274298420312,0.3693418826234156,-0.15696802337156499,0.289553331296447
2025-06-04,4,4,0.5293584302349688,0.20152938842804047,-0.3055775157655515,0.36898870839093284,-0.16141076329026963,0.2828458605428364
2025-06-05,4,4,0.5430410569423367,0.28088165631419026,-0.2880079676292412,0.3690803625251472,-0.1570773837478927,0.2810676552302324
2025-06-06,4,4,0.47155088811146084,0.3477362644744383,-0.19206009558896486,0.36601804976727903,-0.1706815853737915,0.2833567111574038
2025-06-09,4,4,0.5052299295715034,0.3377823414497996,-0.15930904966930284,0.3675736939638424,-0.18687313345872691,0.28820962975908887
2025-06-10,4,4,0.5414401268608837,0.35520219993232605,-0.1025324018642893,0.36646599627417986,-0.19080386877653613,0.2864812834608042
2025-06-11,4,4,0.4925573157332883,0.3081962232585376,-0.10557523671045357,0.3670915667362799,-0.20424151046175387,0.29140664896808566
2025-06-12,4,4,0.4826133260739798,0.35954640929429504,0.18879796538592655,0.3684187807459831,-0.20063120223200984,0.30803543312800086
2025-06-13,4,4,0.47426231884822834,0.36818624479773543,0.47765976694859047,0.36912245760127704,-0.20512357472888879,0.3143450379531917
2025-06-16,4,4,0.47656701577098837,0.4190888508843941,0.7140296524972323,0.3655326635898216,-0.20369064998002911,0.3397646809239781
2025-06-17,4,4,0.47699896566595157,0.4140842592817586,0.7178719065446909,0.365854157783893,-0.20173531523532792,0.3541336955345931
2025-06-18,4,4,0.4684034628899464,0.41725007167562783,0.35002214076063176,0.3656228396496315,-0.20203837583948586,0.3629654650642733
2025-06-20,4,4,0.4599442329318757,0.3852488330621312,0.1183431680362374,0.3618406841292448,-0.20812935856559772,0.37461416394984515
2025-06-23,4,4,0.43819440655596636,0.3033600124936766,-0.1396288299591844,0.3640786602572099,-0.21494349254626494,0.39240432583096335
2025-06-24,4,4,0.413002962022888,0.29888561641508804,-0.10398449842444414,0.3611314478697652,-0.21683272762395578,0.40741017791726486
2025-06-25,4,4,0.3730556517644702,0.2790295896244377,-0.32263028893506324,0.360855815250044,-0.2140039206231077,0.40351137573425516
2025-06-26,4,4,0.381513120586894,0.3044592266547347,-0.10099594676653606,0.3586080000834355,-0.2226834120949606,0.40425353995628704
